Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Nahuel_Losada 34 arg   C 76 10 10 10 35 25 620 300 300 300  16 1440  95  13   0   0   0   0   0   0   0   0 100
Seba_Meza     27 arg   C 72 10 10 10 60 25 345 300 300 300   1   90   8   1   0   0   0   0   0   0   0   0 100
Ju_Alvarez    20 arg   C 57 10 10 10 45 25 100 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Tobi_Ramirez  20 arg   C 10 77 60 43 45 25 300 161 549 294  12 1039   0   0  23   7  13   1   0   4   0   0 100
Malcom_Braida 30 arg  LR 10 76 74 68 55 25 300 440   4 244  14 1125   0   0   9  20  15   1   2   2   0   0  94
Santi_Nunez   27 arg   C 10 75 51 43 60 25 300 129 466 712  13 1115   0   0  15  12  13   0   1   1   0   0  90
Lau_Rivero    23 arg  CL 10 72 49 38 50 25 300 941 917 306  11  990   0   0  10  18   4   0   0   3   0   0  91
Damian_Fdez   26 arg   C 10 71 52 45 60 25 300 447 368 189   5  313   0   0   9   0   3   0   0   0   0   0 100
G_Benedetti   26 arg   L 10 70 63 55 60 25 300 967 417 147   9  739   0   0   8  15  11   2   1   0   0   0  96
Kevin_Coronel 22 arg   R 10 70 61 49 50 25 300 732 906 544   5  360   0   0   0  12   5   0   0   0   0   0 100
J_C_Komar     30 arg   C 10 70 51 42 55 25 300 658 533 446   7  476   0   0   6   2   4   0   0   0   0   0 100
Thiago_Yanez  19 arg   C 10 62 47 39 45 25 300 324 316 306   1   45   0   0   2   2   1   0   0   0   0   0 100
Maher_Carrizo 21 arg  RC 10 32 77 68 45 25 300 910 282 906  11  877   0   0   0  18  21   1   1   0   0   0  89
Milt_Delgado  21 arg   C 10 69 77 49 45 25 300 879 202 409  15 1053   0   0  16  22   7   2   4   6   0   0  96
Luis_Angulo   23 col  LR 10 31 76 70 50 25 300 954 464 264  12  936   0   0   1  30  25   2   1   5   0   0  96
Ivan_Tapia    28 arg   C 10 55 76 70 60 25 300  80  15 295  13 1113   0   0   2  37  33   2   2   1   0   0 100
Juan_Portilla 28 col   C 10 68 75 66 60 25 300 800 365 858  14 1173   0   0  11  25  14   2   1   0   0   0  91
D_Vergara     31 col  LR 10 41 74 73 55 25 300 340 548 451  12  763   0   0   2  22  18   1   2   0   0   0  96
I_Malcorra    39 arg  CL 10 42 72 68 30 25 300 604 520 680   7  465   0   0   1  13  16   0   1   1   0   0 100
Rodri_Herrera 26 arg   C 10 65 71 52 60 25 300 664  29 608   9  505   0   0   5  12   6   0   1   0   0   0 100
Cesar_Perez   24 chi   C 10 64 70 58 55 25 300 986 922 800   4  296   0   0   2  12   4   0   0   0   0   0 100
Lucas_Gomez   22 arg   C 10 57 68 54 50 25 300 555 641 548   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Velazquez   21 arg  RL 10 40 66 57 45 25 300 100 757 106   3   71   0   0   0   3   1   0   1   0   0   0 100
Facu_Carrizo  19 arg   C 10 33 63 59 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Borja  34 col   C 10 23 58 75 35 25 300 432  76 410  11  908   0   0   0  12  45   5   0   3   0   0  93
A_Ruberto     21 arg   C 10 35 60 74 45 25 300 693 888 580   9  766   0   0   2  12  43   2   1   1   0   0 100
F_Jainikoski  18 arg   C 10 27 55 63 40 25 300 300 300 300   1   90   0   0   0   0   0   0   0   0   0   0 100

