Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
A_Baroja      36 ven   C 72 10 10 10 35 25 505 500 500 500   1   90   3   1   0   0   0   0   0   0   0   0 100
E_Rodriguez   22 bol   C 62 10 10 10 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Suarez      24 bol  CL 10 73 52 40 55 25 500 524 508 494   1   90   0   0   2   1   1   0   0   0   0   0  96
A_Rambal      33 bol   C 10 72 55 52 45 25 500 512 500 500   1   90   0   0   1   0   0   0   0   0   0   0  97
L_Caicedo     28 esp   C 10 71 55 44 60 25 500 500 500 500   1   90   0   0   0   0   0   0   0   0   0   0  97
R_Gomez       27 bol   C 10 71 51 48 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
D_Rodriguez   22 bol   L 10 70 58 39 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
C_Rodriguez   21 bol   R 10 69 51 45 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
N_Villarroel  18 bol   C 10 68 47 33 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
D_Medina      20 bol   R 10 65 53 32 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
F_Zamora      19 bol   C 10 60 42 30 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
H_Cuellar     25 bol   C 10 71 74 57 55 25 500 490 498 508   1   90   0   0   0   1   3   0   0   0   0   0  98
F_Saucedo     36 bol   C 10 65 74 68 35 25 500 524 524 506   1   90   0   0   2   3   1   0   0   0   0   0  96
J_Amoroso     38 arg  CR 10 38 73 70 30 25 500 500 516 518   1   90   0   0   0   2   3   0   0   0   0   0  94
D_Torrico     25 bol   C 10 41 72 69 55 25 500 500 516 494   1   90   0   0   0   2   3   0   0   0   0   0  96
F_Nava        21 bol  RL 10 34 70 68 45 25 500 500 516 500   1   35   0   0   0   2   0   0   0   0   1   0 100
R_Lima        25 bol   C 10 51 68 58 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Uzeda       23 bol  LC 10 44 68 57 50 25 500 500 524 500   1   55   0   0   0   3   0   0   0   0   0   0 100
J_Maraude     18 bol  CL 10 33 63 58 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Cuestas     18 bol   C 10 57 59 33 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
E_Triverio    37 arg   C 10 27 58 75 35 25 500 512 508 494   1   90   0   0   1   1   3   0   0   0   0   0  98
J_Godoy       32 par   C 10 25 51 71 45 25 500 500 516 494   1   90   0   0   0   2   5   0   0   0   0   0  94
F_Pasadore    25 arg  CL 10 29 48 64 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Alcocer     21 bol   C 10 27 44 60 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100

