Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Ronaldo       29 bra   C 76 10 10 10 60 25 740 500 500 500   5  450  44   7   0   0   0   0   0   0   0   0 100
Joao_Paulo    30 bra   C 72 10 10 10 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Luciano_Juba  26 bra   L 10 78 72 69 60 25 500 485 485 520   2  180   0   0   0   0   2   1   0   1   0   0 100
Gilberto      33 bra   R 10 75 65 56 45 25 500 477 497 518   2  176   0   0   1   4   3   1   0   5   0   0 100
Kanu          29 bra   C 10 74 58 43 60 25 500 607 475 481   5  450   0   0  11   0   3   0   0   1   0   0  83
G_Xavier      24 bra   C 10 73 46 42 55 25 500 640 524 494   5  423   0   0  10   3   5   0   0   0   0   0  86
David_Duarte  31 bra   C 10 73 51 47 55 25 500 656 516 482   5  317   0   0  13   2   3   0   0   0   0   0 100
Iago          28 bra   L 10 73 67 51 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
R_Gomez       21 arg   R 10 72 62 38 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Marcos_Victor 24 bra   C 10 70 51 35 55 25 500 512 516 500   1   69   0   0   1   2   0   0   0   0   0   0 100
L_Gustavo     19 bra   C 10 67 55 38 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Jean_Lucas    27 bra   C 10 70 77 70 60 25 500 524 604 530   5  320   0   0   2  13  11   0   0   0   0   0 100
E_Ribeiro     36 bra  CR 10 36 77 73 35 25 500 548 645 488   4  346   0   0   4  15   4   0   1   0   0   0  91
Caio_Alex     27 bra   C 10 69 75 58 60 25 500 523 555 487   5  414   0   0   4  10   4   0   0   1   0   0  88
Ademir        31 bra   R 10 30 75 72 55 25 500 490 530 490   4  252   0   0   0   5   4   0   0   0   0   0 100
Erick_Pulga   25 bra   L 10 31 74 72 55 25 500 440 576 452   4  328   0   0   0  17   8   0   0   6   0   1 100
C_Olivera     23 uru  RL 10 36 74 71 50 25 500 500 548 500   4  276   0   0   0   6   4   0   0   0   0   0  89
N_Acevedo     26 uru   C 10 71 73 42 60 25 500 500 500 500   1   84   0   0   0   0   0   0   0   0   0   0 100
Erick         28 bra   C 10 69 73 68 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_N     25 bra  CL 10 58 72 62 55 25 500 480 520 474   2  101   0   0   0   5   5   0   0   0   0   0  93
M_Araujo      29 uru  LR 10 35 71 68 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Sanabria    21 arg   L 10 33 67 62 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Willian_Jose  34 bra   C 10 22 65 77 35 25 500 524 572 565   5  401   0   0   2   9  11   1   0   0   0   0  88
Everaldo      34 bra   C 10 24 51 72 35 25 500 522 550 540   5  262   0   0   1   5  11   0   0   0   0   0  92
Dell          17 bra   C 10 27 47 68 40 25 500 490 498 514   2   76   0   0   0   1   6   0   0   0   0   0 100

