Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
A_Marchesin   39 arg   C 76 10 10 10 30 25 444 300 300 300  10  900  32   5   0   0   0   0   0   0   0   0 100
J_Molina      23 arg   C 58 10 10 10 50 25 250 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Manuel_Tasso  26 arg   C 57 10 10 10 60 25 650 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Nehuen_Paz    33 arg  CL 10 74 57 44 45 25 300 985 867 637  10  727   0   0   9   6   7   0   1   3   0   0  87
Gonza_Mottes  29 arg   C 10 72 53 51 60 25 300 390 648 394   7  621   0   0  13   3   5   0   0   7   0   0  96
L_Advincula   37 per   R 10 71 69 66 35 25 300 115 148 608  10  589   0   0   8   6   1   0   0   1   0   0 100
A_Maldonado   29 arg   C 10 71 47 42 60 25 300  20 423 979   8  590   0   0   3   3   3   0   0   0   0   0 100
D_Laxalt      34 uru  LC 10 70 69 63 35 25 300 921 334 131   9  650   0   0   4   7   4   0   1   0   0   0 100
S_Vittor      38 arg   C 10 70 63 63 30 25 300 847 481 404   6  431   0   0   6   4   7   0   0   0   0   0  97
Eze_Neira     26 arg   C 10 70 37 28 60 25 300 183 302 192   5  266   0   0   1   1   0   0   0   0   0   0 100
Mati_Lazo     24 per  CR 10 69 44 29 55 25 300 801 139  48   8  353   0   0   1   3   0   0   0   3   0   0 100
G_Compagnucci 35 arg   R 10 67 60 56 35 25 300 505 619 437   0    0   0   0   0   0   0   0   0   0   0   0 100
Thiago_Fdez   23 arg  LC 10 35 75 69 50 25 300 330 915 374  10  603   0   0   1  12  12   2   0   1   0   0  99
Alexis_Castro 32 arg  LC 10 63 72 69 45 25 300 312 988 407  10  512   0   0   2  12   9   0   0   0   0   0  98
Maxlo_Castro  19 per   L 10 33 72 60 45 25 300 457 953 414  10  683   0   0   0  17   2   0   2   0   0   0  96
Santi_Solari  29 arg  RL 10 38 72 68 60 25 300 857 704  26   9  744   0   0   1  11   5   0   0   2   0   0  92
Pena_Biafore  26 arg   C 10 68 72 54 60 25 300 307 374 102   8  594   0   0   4  12   3   0   0   0   0   0 100
Gonzalo_Rios  28 arg  CL 10 39 70 61 60 25 300 419 515 369   5  294   0   0   1   4   4   0   0   0   0   0 100
David_Zalazar 25 arg  RL 10 37 69 65 55 25 300 472 597 484   2   75   0   0   0   2   2   0   0   0   0   0 100
Juan_Bisanz   25 arg  RL 10 47 67 64 55 25 300  34 611  33   1   90   0   0   0   0   0   0   0   1   0   0 100
Lucas_Alario  34 arg   C 10 31 57 72 35 25 300 534 911 471   9  688   0   0   1   6  19   3   0   0   0   0  91
Gabri_Avalos  36 par   C 10 25 55 70 35 25 300 522 286 857   5  332   0   0   0   3  12   0   0   0   0   0 100
Micha_Santos  34 uru   C 10 27 59 69 35 25 300 569 722 725   2  111   0   0   0   1   1   1   0   0   0   0 100
D_Benedetto   37 arg   C 10 23 60 65 35 25 300 969 280 690   1   16   0   0   0   0   0   0   0   0   0   0 100
T_Perrotta    20 arg   C 10 26 52 64 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100

