Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Guido_Herrera 35 arg   C 78 10 10 10 35 25 701 300 300 300  19 1651  90  12   0   0   0   0   0   0   0   0 100
Leandro_Brey  24 arg   C 75 10 10 10 55 25 166 300 300 300   3  239  16   3   0   0   0   0   0   0   0   0 100
V_Perroud     19 arg   C 56 10 10 10 45 25 200 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Lauta_Blanco  28 arg   L 10 77 69 48 60 25 300 416 874 513  12  916   0   0   6  23   6   0   4   6   0   0 100
Jhohan_Romana 28 col   C 10 76 58 52 60 25 300 863 210 691  13 1080   0   0  19  17  21   0   0   2   0   0  96
M_Pellegrino  24 arg   C 10 76 54 46 55 25 300 363 216 503  12  883   0   0  12   7   9   0   0   3   0   0 100
Garcia_Basso  35 arg   C 10 75 60 53 35 25 300 307 839 666  13  837   0   0  15  10  11   0   0   1   0   0 100
L_Di_Lollo    23 arg   C 10 75 51 48 50 25 300 426 154 623  13 1028   0   0  22  12  13   0   0   1   0   0  91
Lucas_Blondel 30 arg   R 10 73 65 62 55 25 300 135 782  21   8  604   0   0   5   8   3   0   1   0   0   0  96
Juan_Barinaga 26 arg   R 10 72 66 48 60 25 300 882 115 582  16 1208   0   0  14  26  11   1   2   0   0   0 100
Andres_Meli   26 arg   L 10 71 64 50 60 25 300 349 808 470  18 1044   0   0   8  25  15   0   0   1   0   0 100
Lea_Paredes   32 arg   C 10 71 80 65 45 25 300 818 292 356  17 1141   0   0   6  29  17   1   3   0   0   0 100
Kevin_Zenon   25 arg  CL 10 61 77 69 55 25 300 558 795 461  16 1395   0   0  10  42  23   1   4   2   0   0  88
N_Nandez      31 uru  CR 10 71 77 61 55 25 300 593 233 416  11  989   0   0   7  25  14   1   0   6   0   0  97
Nico_F_Mercau 26 arg  RC 10 60 76 70 60 25 300 884 700 808  10  826   0   0   6  20  17   1   1   1   0   0 100
Leonel_Picco  28 arg   C 10 70 76 55 60 25 300 458 820 908  15 1272   0   0   4  46  16   1   2   3   0   0  93
Lucho_Acosta  33 arg  CL 10 32 76 73 45 25 300 798 427 410  12  672   0   0   0  15  12   3   0   1   0   0 100
W_Alarcon     26 chi   C 10 68 76 65 60 25 300 553 245 478  17  668   0   0   3  13  10   0   1   1   0   0 100
Gzalez_Metili 30 arg  CR 10 41 74 70 55 25 300 441  67 443   8  410   0   0   0   7   8   1   0   1   0   0 100
Alan_Velasco  24 arg  LC 10 33 73 68 55 25 300 616 618 790   8  561   0   0   2  21  13   0   2   0   0   0 100
J_Payal       22 arg  CL 10 36 65 57 50 25 300   0 524 994   0    0   0   0   0   0   0   0   0   0   0   0 100
Mauro_Icardi  34 arg   C 10 28 68 79 35 25 300 267 474 612  19 1246   0   0   1  18  61   9   3   3   0   0  99
Juli_Carranza 27 arg   C 10 26 63 77 60 25 300 402  75 585  17 1283   0   0   0  23  57   9   1   1   0   0  98
M_Merentiel   31 uru   C 10 37 58 77 55 25 300 177 542 105  16  789   0   0   0  11  36   6   0   1   0   0 100
I_Zufiaurre   22 arg   C 10 28 35 59 50 25 300   0   8 494   1   21   0   0   0   0   2   0   0   0   0   0 100

