Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
C_Lampe       39 bol   C 74 10 10 10 30 25 865 500 500 500   6  540  59   6   0   0   0   0   0   0   0   0 100
D_Mendez      35 bol   C 67 10 10 10 35 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
X_Arreaga     31 ecu   C 10 75 55 52 55 25 500 584 540 506   4  360   0   0   7   5   3   0   0   0   0   0  97
Jose_Sagredo  32 bol  CL 10 72 52 47 45 25 500 533 473 435   6  351   0   0   4   1   5   0   0   5   0   1 100
Jesus_Sagredo 32 bol  RC 10 71 59 41 45 25 500 610 514 484   6  355   0   0  10   3   1   0   0   0   0   0 100
S_Echeverria  35 arg   C 10 70 43 40 35 25 500 580 508 506   4  270   0   0   5   1   3   0   0   0   0   0 100
E_Freita      19 bol  CR 10 70 55 37 45 25 500 572 532 500   4  144   0   0   6   4   2   0   0   0   0   0 100
I_Gariglio    27 arg   C 10 69 48 42 60 25 500 502 490 490   1   41   0   0   1   0   0   0   0   0   0   0 100
L_Paz         21 bol  RL 10 68 60 39 45 25 500 534 530 496   4  144   0   0   2   5   3   0   0   0   0   0 100
F_Mena        17 bol   C 10 61 45 34 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
H_Butron      20 bol   L 10 60 42 32 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Robson_M      23 bol  CL 10 55 74 64 50 25 500 512 524 494   2  180   0   0   1   3   3   0   0   0   0   0  96
Jh_Velasquez  22 bol  CR 10 39 74 71 50 25 500 521 597 497   6  406   0   0   3  14  10   0   0   1   0   0  86
L_Justiniano  33 bol   C 10 64 73 65 45 25 500 497 541 479   4  291   0   0   1   7   5   0   0   1   0   0 100
C_Melgar      31 bol   C 10 52 73 71 55 25 500 497 549 449   6  417   0   0   1   8   8   0   0   1   0   0 100
P_Rodriguez   35 arg  LC 10 28 73 69 35 25 500 510 622 510   6  396   0   0   0  14   8   0   0   0   0   0 100
D_Batallini   29 arg  RL 10 44 72 70 60 25 500 495 567 524   6  396   0   0   0   9   9   1   0   1   0   0 100
E_Vaca        22 bol   C 10 64 71 57 50 25 500 536 564 518   3  270   0   0   3   8   7   0   0   0   0   0  94
J_Garcia      25 bol  CL 10 34 71 66 55 25 500 490 514 496   3  162   0   0   0   3   5   0   0   0   0   0 100
B_Oyola       29 arg   L 10 38 70 65 60 25 500 512 629 500   4  236   0   0   1  13   4   0   1   0   0   0 100
C_Sejas       22 bol  CR 10 54 69 59 50 25 500 536 572 529   4  306   0   0   3   9   5   1   0   0   0   0 100
C_Aleman      30 bol  CR 10 38 68 65 55 25 500 500 516 518   1   90   0   0   0   2   3   0   0   0   0   0  97
E_Saavedra    30 bol  RC 10 48 68 64 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Galindo     19 bol   C 10 63 65 44 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Jes_Velasquez 19 bol   C 10 49 64 52 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
B_Mendez      19 bol   L 10 32 60 57 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
L_Sabja       18 bol   C 10 55 59 41 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Cauteruccio 38 uru   C 10 22 57 76 30 25 500 510 534 498   6  294   0   0   0   3  12   0   0   0   0   0 100
Dorny_Romero  28 dom   C 10 26 52 76 60 25 500 500 524 576   6  246   0   0   0   3   9   2   0   0   0   0 100

