Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Gaston_Gomez  31 arg   C 71 10 10 10 55 25 446 300 300 300   6  540  49  11   0   0   0   0   0   0   0   0 100
Randall_Rguez 23 uru   C 67 10 10 10 50 25 537 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Juan_Berasi   22 arg   C 58 10 10 10 50 25   0 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Facu_Castet   28 arg   L 10 71 54 47 60 25 300  61 351 292   5  450   0   0   4   1   1   0   0   1   0   0  95
Nico_Talpone  31 arg  RC 10 70 66 52 55 25 300 114 166 841   6  470   0   0   7   6   3   0   0  11   0   2  98
Brian_Negro   29 arg  CL 10 69 52 39 60 25 300 318 785 298   6  492   0   0   7   4   4   0   0   0   0   0  95
Gonza_Bettini 34 arg   R 10 69 62 47 35 25 300 199 283 674   2   32   0   0   0   0   2   0   0   0   0   0 100
Guille_Ortiz  34 arg   C 10 69 47 42 35 25 300 140 165 374   6  508   0   0   8   4   4   1   1   1   0   0 100
Nico_Thaller  28 arg   C 10 68 51 37 60 25 300 503 311 246   3   48   0   0   2   0   2   1   0   0   0   0 100
Lau_Montoya   32 arg   L 10 65 62 56 45 25 300 763 305 117   1   90   0   0   3   1   0   0   0   1   0   0 100
Facu_Sanchez  37 arg   R 10 65 63 57 35 25 300 378 544 597   0    0   0   0   0   0   0   0   0   0   0   0 100
Z_Ibarra      20 arg   C 10 60 48 35 45 25 300 758  78  70   0    0   0   0   0   0   0   0   0   0   0   0 100
Alan_Ruiz     34 arg   C 10 44 73 71 35 25 300 115   7 178   6  453   0   0   1  18  13   1   0   0   2   0  94
D_Sarmiento   23 arg  RL 10 40 71 63 50 25 300 335 926 381   1   90   0   0   0   3   0   0   0   0   0   0 100
Lucas_Besozzi 24 arg  LC 10 29 71 66 55 25 300 307 460 469   6  193   0   0   0   5   3   0   0   0   0   0 100
Claudio_Baeza 33 chi   C 10 68 71 52 45 25 300 354 258  95   5  450   0   0   8  11   2   0   2   0   0   0  92
Gero_Poblete  34 arg   C 10 67 70 47 35 25 300 515 296 280   5  450   0   0   5  13   1   0   1   0   0   0  86
C_Bernardi    37 arg  RC 10 50 67 63 35 25 300 391 991 487   5  320   0   0   2   6   6   1   0   0   0   0 100
Joel_Sonora   30 usa  CR 10 52 66 60 55 25 300 465 762 646   5  130   0   0   2   5   1   0   1   0   0   0 100
Franco_Jara   38 arg   C 10 25 59 68 30 25 300 148 345  87   6  435   0   0   0   6  14   1   1   1   0   0  99
Agus_Auzmendi 30 arg   C 10 24 47 67 55 25 300 654 698 939   6  524   0   0   1   5  23   2   0   1   0   0  94
Pablo_Magnin  37 arg   C 10 29 48 66 35 25 300 666 828   9   5  105   0   0   0   2   2   0   0   0   0   0 100
C_Tarragona   36 arg   C 10 19 56 64 35 25 300 985  21 670   0    0   0   0   0   0   0   0   0   0   0   0 100
E_Santini     20 arg   C 10 20 40 61 45 25 300 112 124 688   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Sanguina    28 par  CL 10 25 47 61 60 25 300  50  74 606   1   90   0   0   0   3   0   0   0   0   0   0 100

