Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Fabio         45 bra   C 82 10 10 10 50 25 605 500 500 500   4  296  17   2   0   0   0   0   0   0   0   0 100
Vitor_Eudes   27 bra   C 67 10 10 10 60 25 675 500 500 500   5  424  27  10   0   0   0   0   0   0   0   0 100
M_Pitaluga    23 bra   C 62 10 10 10 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Samuel_Xavier 35 bra   R 10 78 68 60 35 25 500 572 556 500   5  450   0   0   6   7   2   0   0   0   0   0  85
G_Arana       28 bra   L 10 77 70 63 60 25 500 564 552 480   5  450   0   0   7   9   4   0   0   0   0   0  98
J_Freytes     26 arg  CL 10 77 52 44 60 25 500 543 507 469   4  329   0   0   4   4   1   0   0   1   0   0 100
J_Millan      27 col   C 10 76 56 55 60 25 500 617 550 479   5  450   0   0  11   5   3   0   1   1   0   0  92
Rene          33 bra   L 10 76 65 56 45 25 500 512 581 500   3  270   0   0   1   7   6   0   1   0   0   0 100
Jemmes        25 bra   C 10 75 45 42 55 25 500 533 501 479   5  391   0   0   4   2   1   0   0   1   0   0  94
Ignacio       29 bra   C 10 74 48 46 60 25 500 571 511 548   3  270   0   0   3   2   3   1   0   1   0   0 100
Guga          27 bra   R 10 73 69 50 60 25 500 557 533 497   3  270   0   0   6   6   6   0   0   1   0   0 100
Igor_Rabello  30 bra   C 10 70 44 68 55 25 500 500 500 500   1    6   0   0   0   0   0   0   0   0   0   0 100
Davi_Schuindt 21 bra   C 10 63 41 38 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Joao_Loiola   20 bra   C 10 59 40 33 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Martinelli    24 bra   C 10 74 79 60 55 25 500 565 601 511   8  476   0   0   5  12   1   0   0   1   0   0  92
J_Savarino    29 ven  CL 10 41 77 72 60 25 500 536 621 535   8  419   0   0   3  12   6   1   1   0   0   0 100
A_Canobbio    27 uru  LR 10 36 77 74 60 25 500 490 522 531   7  234   0   0   0   4   7   1   0   0   0   0 100
Hercules      25 bra   C 10 62 76 68 55 25 500 524 573 494   5  450   0   0   2   6   7   0   1   0   0   0  91
K_Serna       28 col  RL 10 36 76 72 60 25 500 534 575 498   7  396   0   0   2   5   8   0   1   0   0   0 100
Ganso         36 bra   C 10 28 75 72 35 25 500 512 589 559   3  270   0   0   1   8  10   1   1   0   0   0 100
Nonato        28 bra   C 10 42 73 68 60 25 500 500 572 535   3  270   0   0   0   9   6   1   0   0   0   0 100
Y_Soteldo     28 ven  LC 10 30 73 69 60 25 500 522 607 546   8  366   0   0   1   9   8   0   1   0   0   0 100
F_Bernal      22 uru   C 10 70 73 47 50 25 500 524 604 494   5  322   0   0   2  13   1   0   0   0   0   0 100
Otavio        31 bra   C 10 70 72 45 55 25 500 524 596 488   7  372   0   0   2  12   4   0   0   0   0   0 100
Alisson       32 bra  CR 10 50 72 66 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Moreno      25 col  RL 10 23 71 69 55 25 500 500 500 500   1   26   0   0   0   0   0   0   0   0   0   0 100
Riquelme      19 bra   R 10 33 65 60 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Matheus_Reis  18 mex  LR 10 30 62 58 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
G_Cano        38 arg   C 10 22 49 78 30 25 500 482 510 575   7  409   0   0   1   5  28   3   0   2   0   0 100
John_Kennedy  23 bra   C 10 28 63 75 50 25 500 542 578 671   8  304   0   0   1   6  14   3   0   0   0   0 100

