Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
A_Quintana    31 col   C 74 10 10 10 55 25 665 500 500 500   6  540  29  10   0   0   0   0   0   0   0   0 100
G_Villar      28 arg   C 73 10 10 10 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
E_Bores       23 ecu   C 63 10 10 10 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Carabajal   29 arg   C 10 75 52 40 60 25 500 544 516 518   6  396   0   0   2   2   3   0   0   0   0   0 100
R_Schunke     34 arg   C 10 74 48 44 35 25 500 535 507 516   6  540   0   0   5   4   3   1   0   1   0   0  71
G_Cortez      28 ecu   L 10 73 66 31 60 25 500 538 498 490   6  463   0   0   4   1   0   0   0   0   0   0  98
J_Viacava     27 uru   C 10 72 66 37 60 25 500 509 541 467   6  412   0   0   2   7   3   0   0   1   0   0  89
L_Loor        24 ecu   L 10 72 57 38 55 25 500 485 485 485   1   69   0   0   0   0   0   0   0   1   0   0 100
D_Romero      24 ecu  RL 10 70 60 32 55 25 500 481 518 439   6  540   0   0   3   6   1   0   1   3   0   0  77
L_Zarate      26 par   C 10 70 52 42 60 25 500 512 500 500   3   92   0   0   1   0   2   0   0   0   0   0 100
J_Espinoza    27 ecu   R 10 68 51 33 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Velasco     27 ecu   C 10 65 47 32 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
D_Ordonez     16 ecu   C 10 60 47 29 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
P_Mercado     22 ecu   C 10 33 74 68 50 25 500 490 506 490   4  215   0   0   0   2   2   0   0   0   0   0 100
J_Sornoza     32 ecu   C 10 30 74 70 45 25 500 489 513 512   5  355   0   0   2   6   4   1   0   1   0   0  99
J_Alcivar     26 ecu   C 10 67 73 55 60 25 500 501 545 459   4  358   0   0   3  10   3   0   0   5   0   0  94
M_Perello     24 arg  RC 10 32 72 69 55 25 500 500 524 500   4  151   0   0   0   3   0   0   0   0   0   0 100
J_Mendez      28 ecu   C 10 67 71 50 60 25 500 512 540 506   3  270   0   0   1   5   1   0   0   0   0   0 100
J_Cazares     33 ecu   C 10 38 70 67 45 25 500 500 516 500   3   55   0   0   0   2   0   0   0   0   0   0 100
E_Pata        21 ecu  RL 10 33 69 66 45 25 500 485 534 479   2  107   0   0   0   3   1   0   1   1   0   0 100
A_Rodriguez   26 ecu   L 10 35 69 65 60 25 500 500 500 500   2   93   0   0   0   0   0   0   0   0   0   0 100
D_Guagua      18 ecu   C 10 55 68 59 40 25 500 490 498 490   1   90   0   0   0   1   0   0   0   0   0   0 100
J_Lerma       17 ecu   C 10 32 67 62 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
R_Briones     25 ecu  CL 10 38 66 60 55 25 500 500 500 500   1   26   0   0   0   0   0   0   0   0   0   0 100
J_Arroyo      22 ecu   C 10 41 65 59 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Y_Ochoa       21 ecu   C 10 56 61 50 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Gongora     22 ecu  LR 10 36 58 55 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
D_Reasco      27 ecu   C 10 27 52 74 60 25 500 500 508 494   3  177   0   0   0   1   7   0   0   0   0   0 100
C_Gonzalez    33 par   C 10 22 50 73 45 25 500 475 515 493   6  443   0   0   0   5   3   0   0   1   0   0  98
J_Angulo      18 ecu   C 10 25 40 65 40 25 500 500 508 500   6  405   0   0   0   1  10   0   0   0   0   0  84
Y_Vasquez     19 ecu   C 10 26 45 62 45 25 500 500 548 541   3  133   0   0   0   6   5   1   0   0   0   0  94

