Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
M_Silveira    25 uru   C 75 10 10 10 55 25 685 500 500 500   5  450  29   7   0   0   0   0   0   0   0   0 100
J_Martinez    32 col   C 68 10 10 10 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
JC_Pestana    28 col   C 10 75 62 57 60 25 500 592 597 500   5  402   0   0   6   9   4   0   1   0   0   0  94
J_Pena        26 col   C 10 74 55 41 60 25 500 560 540 488   5  450   0   0   5   5   4   0   0   0   0   0  85
Y_Suarez      28 col  LC 10 73 66 47 60 25 500 548 572 494   5  414   0   0   4   9   1   0   0   0   1   0  93
E_Herrera     27 col  RL 10 73 60 43 60 25 500 511 523 475   5  424   0   0   3   6   0   0   0   1   0   0  84
Jh_Guerrero   24 col   R 10 71 57 41 55 25 500 490 506 502   3  105   0   0   0   2   4   0   0   0   0   0 100
L_Monzon      24 uru   C 10 70 52 38 55 25 500 532 500 500   2   48   0   0   1   0   0   0   0   0   0   0 100
D_Rivera      27 col   C 10 68 55 42 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Jh_Navia      22 col   L 10 65 51 35 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Y_Moreno      22 col   R 10 64 47 33 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
C_Barrios     27 col  RL 10 42 74 71 60 25 500 546 550 528   5  239   0   0   3   5   3   0   0   0   0   0 100
J_Rivas       28 col   C 10 67 74 55 60 25 500 586 587 478   5  450   0   0   8   9   2   0   1   0   0   0  81
Y_Chara       34 col  RL 10 38 73 69 35 25 500 526 506 466   3  209   0   0   3   2   4   0   0   0   0   0 100
G_Celis       32 col   C 10 69 72 47 45 25 500 524 516 500   3  270   0   0   2   2   0   0   0   0   0   0  83
D_Caicedo     25 col  LR 10 33 72 68 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
JD_Rios       34 col   C 10 63 71 51 35 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
B_Castrillon  26 col  LR 10 35 70 66 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Canchimbo   20 col  RL 10 35 69 66 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Sarmiento   26 col  CR 10 34 69 65 60 25 500 500 556 518   4  292   0   0   0   7   5   0   0   0   0   0 100
F_Angel       25 col   C 10 50 68 56 55 25 500 500 500 506   2   79   0   0   0   0   1   0   0   0   0   0 100
K_Perez       28 col  RL 10 32 68 64 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
H_Rivera      33 col   C 10 42 66 61 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
L_Muriel      34 col   C 10 27 69 78 35 25 500 507 527 624   5  368   0   0   1   4  10   3   0   1   0   0  94
C_Bacca       39 col   C 10 28 51 76 30 25 500 490 522 508   5  377   0   0   0   4   9   0   0   0   0   0  94
T_Gutierrez   40 col   C 10 38 55 72 30 25 500 500 516 512   5  296   0   0   0   2   6   0   0   0   0   0  81
G_Paiva       28 par   C 10 32 57 71 60 25 500 490 506 531   5   77   0   0   0   2   1   1   0   0   0   0 100

