Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Eze_Unsain    32 arg   C 79 10 10 10 45 25 380 300 300 300  18 1581 148  17   0   0   0   0   0   0   0   0 100
Alan_Aguerre  36 arg   C 66 10 10 10 35 25 235 300 300 300   4  309  27   6   0   0   0   0   0   0   0   0 100
Axel_Werner   31 arg   C 65 10 10 10 55 25 675 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Sasha_Marcich 29 arg   L 10 76 67 46 60 25 300 286 899 493  20 1755   0   0  11  18  11   0   1   1   0   0  87
Fer_Alarcon   32 arg   C 10 74 49 42 45 25 300 748 295 149  14 1117   0   0  20   5  11   0   0   1   0   0 100
Fede_Gattoni  28 arg   C 10 74 57 52 60 25 300 654 755 332  19 1618   0   0  27  12   8   0   0   1   0   0  86
Gonzalo_Perez 26 uru   C 10 73 61 43 60 25 300 378 868 446  10  712   0   0  16  10   7   0   0   1   0   0  96
A_Mendez      31 uru   R 10 72 54 38 55 25 300 335 569 292  16 1425   0   0  16  18   6   1   0   6   0   0  85
G_Avila       26 arg   C 10 71 63 46 60 25 300 396 842 721   4  286   0   0   7   1   1   0   0   1   0   0 100
M_Barbieri    33 arg   C 10 69 50 42 45 25 300 857   9 898   0    0   0   0   0   0   0   0   0   0   0   0 100
Santi_Moyano  29 arg   R 10 68 55 34 60 25 300 679 683 440   7  484   0   0   3   2   6   0   0   6   0   0 100
R_Dejesus     26 par   C 10 68 46 40 60 25 300 112 782 756   0    0   0   0   0   0   0   0   0   0   0   0 100
Jonathan_Bay  34 arg   L 10 65 54 50 35 25 300 239 911 911   1   90   0   0   0   1   0   0   0   0   0   0 100
Thomas_Ortega 26 arg   L 10 62 55 35 60 25 300 234 357 319   0    0   0   0   0   0   0   0   0   0   0   0 100
Monito_Vargas 30 arg  LC 10 32 76 73 55 25 300 293 966 574  19 1406   0   0   5  30  14   0   0   0   0   0  92
Leo_Heredia   31 arg  CL 10 44 76 70 55 25 300 328 787 802  12  962   0   0   5  22   8   0   3   2   0   0  99
Papu_Gomez    39 arg  CL 10 39 76 74 30 25 300 334 422 369  13  988   0   0   2  14  10   1   0   0   0   0 100
Lucho_Cabral  32 chi   C 10 47 74 71 45 25 300 899 821 178  11  428   0   0   3   7   8   0   0   0   0   0 100
Fabicio_Dguez 28 uru  CR 10 59 74 66 60 25 300 876 746 759  17  873   0   0   4  17   8   0   2   1   0   0 100
Gaston_Lodico 29 arg  CL 10 62 74 60 60 25 300 784 287 500  12  888   0   0   4  21   5   1   1   0   0   0 100
Agus_Bouzat   33 arg  CL 10 67 72 61 45 25 300 486 836 163  16 1137   0   0  12  27  10   2   1   3   0   0  97
Agustin_Urzi  27 arg  RL 10 37 71 67 60 25 300  36 885 856   8  720   0   0   4  16   9   0   1   0   0   0  89
F_Pizzini     33 arg  RL 10 32 71 69 45 25 300 779 614 677   9   99   0   0   0   5   1   0   2   0   0   0 100
Leonel_Roldan 22 arg   C 10 62 71 55 50 25 300 698  43 696   1   33   0   0   0   1   1   0   0   0   0   0 100
Alexi_Segovia 22 arg   R 10 33 65 59 50 25 300 345 240 285   0    0   0   0   0   0   0   0   0   0   0   0 100
Alex_Arce     32 par   C 10 23 50 75 45 25 300 541 782 857  21 1691   0   0   5  16  46   3   0   3   0   0  78
Enzo_Copetti  31 arg   C 10 38 63 75 55 25 300 408 780 848  13 1041   0   0   1  19  29   2   2   1   0   0 100
Eze_Ponce     30 arg   C 10 28 59 75 55 25 300 959 531 149  19  864   0   0   3   7  26   3   0   1   0   0 100
Abiel_Osorio  24 arg   C 10 26 53 71 55 25 300  44 156 125  14  263   0   0   0   0  15   1   0   0   0   0 100

