Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
A_Dominguez   38 ecu   C 76 10 10 10 30 25 965 500 500 500   9  810  75   8   0   0   0   0   0   0   0   0 100
G_Valle       30 ecu   C 75 10 10 10 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Villa       24 ecu   C 63 10 10 10 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
R_Ade         35 hai   C 10 77 58 40 35 25 500 642 543 482   8  720   0   0  11   6   4   0   1   2   0   0  81
R_Mina        26 ecu  CR 10 76 57 45 60 25 500 752 609 555   9  810   0   0  16   8  10   1   1   0   0   0  92
L_Quinonez    32 col  LC 10 74 70 55 45 25 500 524 528 440   8  720   0   0   7  11   6   0   0   4   0   0  84
J_Quintero    35 col   R 10 74 62 51 35 25 500 612 593 474   8  720   0   0  11  11   7   0   1   2   0   0  79
GA_Allala     29 uru   C 10 72 52 46 60 25 500 500 516 500   1   90   0   0   0   2   0   0   0   0   0   0 100
L_Segovia     28 col  CL 10 71 51 42 60 25 500 512 500 500   1   90   0   0   1   0   0   0   0   0   0   0 100
D_DeLaCruz    22 ecu   R 10 70 58 38 50 25 500 512 500 518   1   90   0   0   1   0   3   0   0   0   0   0 100
J_Cuero       24 ecu   R 10 69 55 39 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Caicedo     21 ecu   C 10 63 45 32 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Corozo      30 ecu  RL 10 33 76 73 55 25 500 512 654 664   9  747   0   0   1  13  24   4   2   0   0   0  99
G_Villamil    24 bol   C 10 58 75 60 55 25 500 572 596 535   9  773   0   0   6  12  10   1   0   0   0   0  87
A_Alvarado    26 ecu   L 10 40 75 71 60 25 500 521 621 520   9  810   0   0   3  17  14   1   0   1   0   0  95
F_Cornejo     30 chi   C 10 67 74 55 55 25 500 618 727 534   9  682   0   0   9  24   4   0   1   0   0   0 100
C_Tobar       25 ecu   C 10 47 73 68 55 25 500 486 652 462   8  659   0   0   3  19  10   0   2   6   0   0  92
Ro_Redes      26 par  RC 10 31 73 69 60 25 500 522 558 581   8  224   0   0   1   6   8   1   0   0   0   0 100
J_Pretell     26 per   C 10 65 72 49 60 25 500 512 524 500   8  128   0   0   1   3   2   0   0   0   0   0 100
K_Minda       27 ecu   C 10 62 71 51 60 25 500 500 500 500   1   16   0   0   0   0   0   0   0   0   0   0 100
Y_Quinonez    24 ecu  LR 10 35 69 64 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
P_Duran       20 ecu  CR 10 33 62 55 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Deyverson     34 bra   C 10 25 60 76 35 25 500 500 580 616   9  629   0   0   0  10  16   4   0   0   0   0  97
M_Estrada     29 ecu   C 10 24 55 73 60 25 500 520 544 567   9  181   0   0   0   3  10   1   0   0   0   0 100
J_Medina      31 col   C 10 28 51 71 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100

