Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
R_Morinigo    27 par   C 76 10 10 10 60 25 805 500 500 500   6  540  61   8   0   0   0   0   0   0   0   0 100
A_Gonzalez    23 par   C 64 10 10 10 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
V_Rojas       21 par   C 59 10 10 10 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
D_Viera       34 par   C 10 75 48 41 35 25 500 574 498 478   6  515   0   0   7   1   2   0   0   0   0   0  67
R_Rojas       29 par  CR 10 75 62 53 60 25 500 494 591 464   6  540   0   0   2  12   3   0   1   2   0   0  76
M_Espinoza    28 par   L 10 74 66 50 60 25 500 548 540 488   6  540   0   0   4   5   6   0   0   0   0   0  85
N_Gimenez     28 par  LC 10 73 58 41 60 25 500 596 580 488   6  540   0   0   8  10   2   0   0   0   0   0  84
I_Ramirez     31 par  RC 10 72 61 47 55 25 500 538 523 472   3  193   0   0   4   1   5   0   1   0   0   0 100
Alan_Benitez  32 par   R 10 70 62 55 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Duarte      26 par   C 10 69 47 34 60 25 500 500 500 500   1   25   0   0   0   0   0   0   0   0   0   0 100
T_Fernandez   18 par   C 10 62 41 31 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Delvalle    21 par   C 10 61 44 36 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Campuzano   30 par   C 10 65 73 42 55 25 500 586 579 484   5  414   0   0   8   8   5   0   1   0   0   0 100
F_Carrizo     34 arg  LC 10 38 72 69 35 25 500 460 572 448   6  465   0   0   0  14   4   0   0   2   0   0  80
L_Sanabria    26 par   C 10 58 72 62 60 25 500 497 605 497   6  537   0   0   1  15   6   0   0   1   0   0  84
H_Caballero   34 par   C 10 69 72 45 35 25 500 500 516 500   2   93   0   0   0   2   0   0   0   0   0   0  92
I_Franco      25 par  CR 10 42 71 68 55 25 500 500 597 494   5  347   0   0   0   9   7   0   1   0   0   0  94
H_Fernandez   28 par  CL 10 33 70 64 60 25 500 500 524 523   5  108   0   0   0   3   4   1   0   0   0   0 100
H_Martinez    25 par   C 10 41 68 62 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
R_Villalba    20 par  RC 10 33 66 61 45 25 500 500 500 500   1   31   0   0   0   0   0   0   0   0   0   0 100
M_Fernandez   24 par  RC 10 31 65 63 55 25 500 500 508 500   4   44   0   0   0   1   0   0   0   0   0   0 100
J_Recalde     33 par   C 10 30 65 62 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Fretes      20 par   L 10 55 65 60 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Bogarin     18 par   R 10 34 63 58 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
C_Martinez    21 par   C 10 29 63 56 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Molinas     20 par   C 10 33 62 57 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
P_Villalba    17 par  LR 10 36 61 55 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
L_Melgarejo   35 par  LC 10 33 62 75 35 25 500 480 520 461   6  428   0   0   0   5  19   1   0   0   0   0  98
G_Aguilar     26 par   C 10 27 55 69 60 25 500 465 497 523   6  484   0   0   0   4  20   2   0   1   0   0  97
R_Vera        18 par   C 10 23 46 58 40 25 500 500 500 512   5   91   0   0   0   0   6   0   0   0   0   0 100

