Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
M_Campana     36 uru   C 74 10 10 10 35 25 750 500 500 500   6  540  34   2   0   0   0   0   0   0   0   0 100
M_Bernatene   25 uru   C 67 10 10 10 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
K_Amaro       22 uru   R 10 73 66 55 50 25 500 536 573 500   4  284   0   0   3   6   0   0   1   0   0   0 100
E_Castillo    25 uru  CL 10 73 50 41 55 25 500 612 508 500   6  431   0   0   6   1   2   0   0   0   0   0  89
D_Romero      26 uru   L 10 72 57 50 60 25 500 574 546 490   6  540   0   0   7   7   2   0   0   0   0   0  83
F_Perdomo     26 uru   R 10 72 55 31 60 25 500 548 524 512   3  222   0   0   4   3   2   0   0   0   0   0  96
S_Laquidain   24 arg  CL 10 71 52 38 55 25 500 682 542 516   6  540   0   0  11   4   1   0   0   0   0   0  76
S_Strasorier  25 arg  CR 10 69 48 42 55 25 500 548 524 506   3  143   0   0   4   3   1   0   0   0   0   0 100
K_Lewis       27 uru  LC 10 69 65 37 60 25 500 533 533 497   6  540   0   0   4   6   4   0   0   1   0   0  82
A_Cayetano    26 uru  LC 10 67 53 42 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Rosso       28 uru  RC 10 66 51 44 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Rabunal     31 uru   C 10 65 74 54 55 25 500 545 525 491   6  506   0   0   5   5   1   0   0   1   0   0  78
F_Martinez    30 uru  LR 10 33 72 67 55 25 500 500 524 488   4  130   0   0   0   3   2   0   0   0   0   0 100
D_Zabala      34 uru   R 10 37 72 68 35 25 500 500 524 500   3   56   0   0   0   3   0   0   0   0   0   0 100
N_Garayalde   26 arg   C 10 57 71 59 60 25 500 510 631 645   5  363   0   0   0  12   7   3   1   0   0   0 100
M_Mir         22 uru  RC 10 51 68 57 50 25 500 512 540 518   3  211   0   0   1   5   5   0   0   0   0   0 100
L_Acosta      24 uru   C 10 32 67 64 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
R_Degregorio  23 arg   R 10 42 65 58 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
E_Olivera     22 uru  CL 10 47 64 59 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Milano      23 uru   C 10 60 64 44 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
G_De_Mello    23 uru   L 10 33 63 60 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_de_Luca     20 uru  RL 10 35 61 57 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
R_Machado     20 uru   C 10 29 55 72 45 25 500 495 561 489   6  397   0   0   0   2   5   0   2   1   0   0  97
F_Barcelo     32 uru   C 10 23 53 71 45 25 500 480 520 509   6  464   0   0   0   5  11   1   0   0   0   0  96
R_Bentancourt 33 uru   C 10 30 50 71 45 25 500 512 532 505   6  357   0   0   1   4  11   1   0   0   0   0  95
F_Barrenechea 18 uru   C 10 28 42 59 40 25 500 500 500 482   5  216   0   0   0   0   5   0   0   0   0   0  94

