Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Gabriel_Arias 39 chi   C 77 10 10 10 30 25 478 300 300 300   3  270  32   3   0   0   0   0   0   0   0   0 100
Lucas_Hoyos   38 arg   C 64 10 10 10 30 25 335 300 300 300   3  270  11   2   0   0   0   0   0   0   0   0 100
J_Reinatti    23 arg   C 62 10 10 10 50 25 505 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Alejo_Montero 29 arg   R 10 73 63 52 60 25 300  62 701 877   6  456   0   0   6  10   6   1   0   2   0   0 100
Luca_Sosa     32 arg  CL 10 72 59 39 45 25 300 954 143 296   6  486   0   0   5   4   3   0   0   0   0   0  95
Saul_Salcedo  29 par   C 10 72 52 39 60 25 300 726 206  82   6  513   0   0   7   3   1   0   0   1   0   0 100
Victor_Cuesta 38 arg   C 10 72 52 44 30 25 300  33 976 716   2  106   0   0   2   1   1   0   0   0   0   0 100
German_Conti  32 arg   C 10 70 52 44 45 25 300 137 621 444   5  134   0   0   6   3   1   0   0   1   0   0  95
Alejo_Tabares 25 arg  LC 10 68 58 52 55 25 300 476 113 880   5  381   0   0   3   3   4   0   0   1   0   0 100
Tomas_Jacob   23 arg  RC 10 67 52 36 50 25 300 701 838 825   4   84   0   0   0   1   2   0   0   0   0   0 100
Luciano_Lollo 40 arg   C 10 66 48 45 30 25 300 802  12 828   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Luciano     23 arg   L 10 66 53 33 50 25 300 188 728 284   0    0   0   0   0   0   0   0   0   0   0   0 100
Ima_Machuca   27 arg  RC 10 36 75 70 60 25 300 877 364  32   6  540   0   0   1  14   3   0   1   0   0   0  96
Rey_Domenech  21 arg   C 10 67 74 48 45 25 300 778 762 302   6  498   0   0   1   8   5   0   1   1   0   0 100
Pol_Fernandez 35 arg   C 10 62 71 59 35 25 300 892 520 685   6  333   0   0   3  12   3   0   1   0   0   0  94
Matias_Reali  29 arg  RC 10 29 71 66 60 25 300 723 223 751   0    0   0   0   0   0   0   0   0   0   0   0 100
J_I_Mendez    30 arg   C 10 67 71 61 55 25 300 201  93 882   5  249   0   0   2   4   2   0   0   0   0   0 100
Tomas_Galvan  27 arg  CL 10 35 70 64 60 25 300 853 600 835   3  238   0   0   0   5   3   0   0   1   0   0 100
Lucho_Herrera 31 arg  LR 10 28 70 67 55 25 300 298 412 224   5  254   0   0   2   4   2   1   0   1   0   0 100
Fer_Cardozo   26 par  RL 10 34 69 66 60 25 300 609 944 632   0    0   0   0   0   0   0   0   0   0   0   0 100
Gast_Gonzalez 25 arg  LC 10 39 69 64 55 25 300 720 560 712   3   48   0   0   0   1   0   0   0   0   0   0 100
Valen_Acuna   21 arg   C 10 47 69 58 45 25 300  52 494 938   0    0   0   0   0   0   0   0   0   0   0   0 100
Cris_Ferreira 27 arg   C 10 36 69 67 60 25 300 817 300 899   0    0   0   0   0   0   0   0   0   0   0   0 100
Facundo_Guch  20 arg  RC 10 34 65 60 45 25 300 300 800 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Gio_Chaverano 22 arg  RL 10 32 64 61 50 25 300  49 710  84   0    0   0   0   0   0   0   0   0   0   0   0 100
Gomez_Mattar  18 arg   C 10 42 62 55 40 25 300 300 800 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Adrian_Balboa 33 uru   C 10 27 52 72 45 25 300 589 885 412   6  410   0   0   0   6  18   2   0   1   0   0 100
Mauro_Mendez  28 uru   C 10 38 60 71 60 25 300 109 398 109   6  540   0   0   0   9  21   1   0   1   0   0  99
Facu_Bruera   28 arg   C 10 28 49 68 60 25 300 655 763 577   5  130   0   0   0   1   8   1   0   0   0   0 100
Carlos_Gzalez 34 par   C 10 23 53 68 35 25 300 176 313 456   0    0   0   0   0   0   0   0   0   0   0   0 100

