Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
W_Aguerre     32 uru   C 76 10 10 10 45 25 395 500 500 500  11  990 107  23   0   0   0   0   0   0   0   0 100
S_Britos      38 uru   C 74 10 10 10 30 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
L_Diaz        19 uru   C 61 10 10 10 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Olivera     34 uru  LC 10 76 67 58 35 25 500 732 549 489  11  954   0   0  21   8   7   1   1   2   0   0  82
N_Herrera     21 uru   C 10 75 45 40 45 25 500 792 484 454  11  990   0   0  26   3   7   0   0   2   0   0  80
E_Gularte     28 uru   C 10 74 50 44 60 25 500 532 500 494   3   78   0   0   1   0   1   0   0   0   0   0 100
L_Ferreira    25 uru   C 10 73 54 51 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
F_Escobar     31 arg  RL 10 73 62 54 55 25 500 547 547 505  11  831   0   0   6   9   5   0   0   1   0   0 100
M_Lemos       30 uru   C 10 72 61 55 55 25 500 500 500 500   1   45   0   0   0   0   0   0   0   0   0   0 100
L_Hernandez   33 uru   L 10 71 61 51 45 25 500 612 593 474  10  900   0   0  11  11   1   0   1   2   0   0  74
M_Gonzalez    23 uru  CR 10 70 45 39 50 25 500 502 506 490   6  159   0   0   1   2   0   0   0   0   0   0 100
K_Rodriguez   20 uru   R 10 68 55 43 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Madruga     22 uru   C 10 66 44 38 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
I_Alegre      19 uru  RL 10 61 55 33 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
L_Fernandez   27 uru  CR 10 44 80 75 60 25 500 519 623 536  11  945   0   0   2  16   7   1   0   1   0   0  89
E_Remedi      30 uru   C 10 70 75 51 55 25 500 558 602 444  10  764   0   0   9  19   1   0   0   2   0   0  92
J_Cabrera     34 uru   R 10 53 74 70 35 25 500 559 571 469   8  596   0   0   7  12   3   0   0   1   0   0 100
J_Trindade    32 uru   C 10 69 74 47 45 25 500 548 548 500   6  402   0   0   4   6   0   0   0   0   0   0  79
N_Fernandez   28 uru   C 10 65 73 62 60 25 500 521 598 496   9  718   0   0   3  11  12   1   1   1   1   0 100
E_Darias      28 uru   C 10 51 72 67 60 25 500 460 476 466   6  363   0   0   0   2   1   0   0   2   0   0 100
L_Angulo      21 col  LR 10 30 71 68 45 25 500 500 500 500   2   52   0   0   0   0   0   0   0   0   0   0 100
L_Umpierrez   21 uru  CR 10 38 70 65 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
F_Gonzalez    21 uru   C 10 36 69 65 45 25 500 500 500 500   1    7   0   0   0   0   0   0   0   0   0   0 100
S_Muhletaler  20 uru   R 10 36 68 62 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
T_Olase       22 uru   C 10 55 64 54 50 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
B_Alvarez     18 uru   L 10 33 63 59 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
L_Couture     20 uru   C 10 53 62 47 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Daguer      18 uru   C 10 56 60 42 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
M_Arezo       23 uru   C 10 30 64 77 50 25 500 500 605 533   9  629   0   0   0  10  22   3   1   0   0   0 100
A_Hernandez   35 uru   C 10 27 61 76 35 25 500 470 575 545  11  898   0   0   0  10  23   3   1   2   0   0  92
F_Batista     27 uru   C 10 23 53 71 60 25 500 500 549 476   7  354   0   0   0   3  12   0   1   0   0   0  98
L_Gonzalez    19 uru   C 10 24 49 63 45 25 500 490 522 490   4  125   0   0   0   4   0   0   0   0   0   0  99

