Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Sergio_Romero 40 arg   C 76 10 10 10 30 25 797 300 300 300  11  990  55  11   0   0   0   0   0   0   0   0 100
Fede_Losas    25 arg   C 64 10 10 10 55 25 250 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
A_Desabato    37 arg   C 62 10 10 10 35 25 635 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Bru_Mendez    28 uru  CR 10 75 48 27 60 25 300 804 224 995  11  897   0   0  14   7   5   1   1   2   0   0  88
Ema_Britez    34 arg  CR 10 74 64 47 35 25 300 449 313 312  11  706   0   0  12   6   2   1   0   3   0   0 100
Alex_Vigo     28 arg   R 10 73 65 53 60 25 300 856 158 626  11  773   0   0   7  12   2   0   0   4   0   0  96
Mati_Melluso  28 arg   L 10 72 62 46 60 25 300 316 355 509  11  866   0   0  10  17   2   0   1   1   0   0  99
Joaquin_Pombo 26 arg   C 10 71 43 39 60 25 300 558 813 525  11  377   0   0   5   6   2   0   0   0   0   0 100
Ema_Coronel   30 arg  RC 10 71 58 39 55 25 300 342 603 249  10  310   0   0   3   6   5   0   0   0   0   0 100
C_Corvalan    38 arg  LC 10 69 62 54 30 25 300 584 557 158   1   31   0   0   0   1   0   0   0   0   0   0 100
Oscar_Salomon 28 arg   C 10 69 47 38 60 25 300 288 367 273   0    0   0   0   0   0   0   0   0   0   0   0 100
Nacho_Miramon 23 arg   C 10 69 75 61 50 25 300  52 687 667  11  876   0   0  11  24   8   0   1   1   0   0 100
Ezequiel_Ham  33 sir   C 10 67 75 60 45 25 300 444 124 136   9  624   0   0   3   7   8   0   0   3   0   0  83
Exe_Zeballos  25 arg  LR 10 31 73 67 55 25 300 909 937 977  11  689   0   0   2  18   6   0   0   1   0   0 100
Ruben_Botta   37 arg  CR 10 31 73 69 35 25 300 582 869 656  11  731   0   0   0  13  17   1   0   1   0   0  96
Guido_Mainero 32 arg   R 10 37 73 69 45 25 300 999 639 605  11  600   0   0   1  16   4   1   0   0   0   0 100
Facu_Di_Biasi 21 arg  CR 10 64 72 43 45 25 300 376 468 232   3  114   0   0   1   5   1   0   0   0   0   0 100
Nacho_Fdez    37 arg  CR 10 57 72 67 35 25 300 699 351 636   9  242   0   0   2   5   6   0   0   0   0   0 100
Diego_Tarzia  24 arg   L 10 32 70 67 55 25 300 368 384 259   2   62   0   0   0   1   3   0   0   0   0   0 100
F_Fragapane   34 arg   L 10 31 64 63 35 25 300 184 973 284   0    0   0   0   0   0   0   0   0   0   0   0 100
Santi_Toloza  24 arg   C 10 36 64 62 55 25 300 350 200 350   0    0   0   0   0   0   0   0   0   0   0   0 100
Adam_Bareiro  30 par   C 10 29 62 74 55 25 300 621 580  70   9  705   0   0   0  11  27   1   1   0   0   0  92
Augusto_Lotti 30 arg   C 10 29 59 73 55 25 300 847 711 774  11  624   0   0   0   4  25   1   0   2   0   0  92
Lucho_Vietto  33 arg  CR 10 27 70 73 45 25 300 719 181 219  10  609   0   0   1   6  19   1   0   1   0   0 100
C_Bordacahar  35 arg  CR 10 27 68 72 35 25 300 901 301 236   2   42   0   0   0   1   4   0   0   0   0   0 100

