Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Franco_Armani 40 arg   C 76 10 10 10 30 25 274 300 300 300  15 1350 108  16   0   0   0   0   0   0   0   0 100
Roberto_Leon  25 arg   C 60 10 10 10 55 25 650 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Leo_Sosa      19 par   C 59 10 10 10 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Naza_Colombo  28 arg   C 10 75 53 45 60 25 300 651 831 484  15 1174   0   0  15   5  10   0   0   1   0   0 100
J_C_Portillo  27 arg   C 10 75 62 52 60 25 300 249 202 857  12  968   0   0  18  16  17   0   0   1   0   0  94
Agus_Sandez   26 par   L 10 74 59 54 60 25 300 806 894 290  14 1175   0   0   7  28   3   0   0   0   0   0 100
Nicolas_Figal 33 arg  CR 10 73 62 48 45 25 300  61 905 376  11  903   0   0  12  29   4   0   1   2   0   0  92
Erik_Godoy    33 arg  CR 10 72 55 46 45 25 300 482 556 115  10  565   0   0   4   6   4   0   0   0   0   0 100
Facundo_Mallo 32 uru   C 10 71 46 40 45 25 300 435 809 810   8  236   0   0   7   3   2   1   0   0   0   0 100
Fausto_Grillo 34 arg  CL 10 71 54 41 35 25 300 193 318 104   3  175   0   0   2   5   0   0   0   0   0   0 100
D_Gorosito    21 arg   R 10 71 46 36 45 25 300 130 853 544   4  294   0   0   1   5   1   0   0   0   0   0 100
C_Palacios    26 chi  CL 10 28 76 71 60 25 300 228 994 407   7  434   0   0   0  19  25   1   1   0   0   0 100
Mingo_Blanco  32 arg CRL 10 68 76 67 45 25 300 349 748 877  13  911   0   0   7  28  12   0   1   1   0   0  96
Galarza_Fonda 25 par  CL 10 58 75 63 55 25 300 783 604 601  14  962   0   0   4  20   9   0   0   0   0   0  92
Alan_Lescano  25 arg  CR 10 58 75 70 55 25 300 655 604 897  14  657   0   0   4  23  22   3   1   0   0   0 100
M_Del_Blanco  23 arg  LC 10 68 75 63 50 25 300 206 324  87  13  831   0   0   7  26  10   1   4   1   0   0  97
V_Pizarro     24 chi   C 10 69 74 53 55 25 300 359 396 281   9  810   0   0   7  12   7   0   1   1   0   0 100
Damian_Puebla 24 arg  LR 10 31 74 67 55 25 300 914 139 935   9  545   0   0   1  13   8   0   1   0   0   0 100
Mate_Silvetti 21 arg  RL 10 34 72 64 45 25 300 273 289 201   5  233   0   0   2   2   1   0   0   0   0   0 100
Lau_Giaccone  26 arg  RL 10 32 71 66 60 25 300 504 956 557   3   85   0   0   0   1   2   0   0   0   0   0 100
T_O'Connor    23 arg  CR 10 58 71 55 50 25 300 617 143 692   1    6   0   0   0   0   0   0   0   0   0   0 100
Fede_Navarro  27 arg   C 10 65 68 47 60 25 300 881 255 857   0    0   0   0   0   0   0   0   0   0   0   0 100
Alejo_Veliz   23 arg   C 10 28 59 75 50 25 300 483 682 103  13  906   0   0   4  27  43   3   1   7   0   0  95
Braian_Romero 35 arg   C 10 31 64 75 35 25 300 344 560 383  14  925   0   0   0   7  26   4   0   2   0   0 100
Nahuel_Bustos 28 arg   C 10 33 68 71 60 25 300 730  99 462  13  586   0   0   1   8  37   4   0   0   0   0 100
Thiago_Ponce  22 arg   C 10 33 40 62 50 25 300   0 600   6   2   50   0   0   0   0   1   0   0   0   0   0 100

