Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Rafael        36 bra   C 78 10 10 10 35 25 680 500 500 500   6  540  34   6   0   0   0   0   0   0   0   0 100
C_Coronel     29 par   C 74 10 10 10 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Young         24 bra   C 64 10 10 10 55 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
R_Arboleda    34 ecu   C 10 77 58 53 35 25 500 557 541 479   3  246   0   0   6   7   5   0   0   1   0   0 100
A_Franco      29 arg   C 10 77 56 41 60 25 500 572 524 500   3  270   0   0   6   3   6   0   0   0   0   0 100
E_Diaz        30 arg   L 10 76 71 47 55 25 500 534 598 557   3  270   0   0   2  11   2   1   0   0   0   0 100
Wendell       32 bra   L 10 76 69 60 45 25 500 495 551 495   3  270   0   0   0   7   0   0   0   1   0   0  95
Lucas_Ramon   32 bra   R 10 75 68 44 45 25 500 464 529 434   4  281   0   0   2   8   1   0   1   6   0   0 100
R_Toloi       35 ita   C 10 75 56 52 35 25 500 560 516 494   3  270   0   0   5   2   3   0   0   0   0   0 100
Sabino        29 bra   C 10 74 53 50 60 25 500 548 524 512   3  270   0   0   4   3   4   0   0   0   0   0  97
M_Doria       31 bra   C 10 73 55 49 55 25 500 512 500 500   1   24   0   0   1   0   0   0   0   0   0   0 100
Cedric        34 por   R 10 72 68 61 35 25 500 524 589 506   6  232   0   0   2   8   1   0   1   0   0   0  97
Maik          21 bra   R 10 68 63 52 45 25 500 500 500 500   2   27   0   0   0   0   0   0   0   0   0   0 100
Lucas_Moura   33 bra RCL 10 36 79 76 45 25 500 524 676 570   6  434   0   0   2  22  16   2   0   0   0   0 100
Danielzinho   31 bra  CR 10 60 77 63 55 25 500 512 564 506   6  386   0   0   1   8   5   0   0   0   0   0 100
D_Bobadilla   24 par   C 10 63 75 66 55 25 500 497 582 473   6  381   0   0   1   9   4   0   1   1   0   0  97
M_Antonio     25 bra   C 10 62 75 65 55 25 500 497 647 461   6  376   0   0   1  14  12   0   2   1   0   0 100
Cauly         30 bra  CR 10 44 74 71 55 25 500 522 583 504   6  106   0   0   1   6   5   0   1   0   0   0 100
Pablo_Maia    24 bra   C 10 71 73 48 55 25 500 555 623 471   6  477   0   0   5  16   6   0   0   1   0   0  98
Ferreirinha   28 bra  LC 10 28 72 70 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Luan          26 bra   C 10 64 68 52 60 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
F_Negrucci    21 bra   C 10 62 64 44 45 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
Lucca         18 bra   L 10 34 67 60 40 25 500 500 500 500   0    0   0   0   0   0   0   0   0   0   0   0 100
J_Calleri     32 arg   C 10 26 60 78 45 25 500 500 549 629   3  270   0   0   0   3  22   3   1   0   0   0 100
Luciano       32 bra   C 10 25 68 78 45 25 500 500 564 575   3  270   0   0   0   8  19   3   0   0   0   0  98
Andre_Silva   28 bra   C 10 22 51 74 60 25 500 500 540 547   3  270   0   0   0   5  18   1   0   0   0   0  95
G_Tapia       24 chi  RC 10 28 69 73 55 25 500 500 564 541   3  270   0   0   0   8  17   1   0   0   0   0 100

