Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
F_Altamirano  31 arg   C 75 10 10 10 55 25 223 300 300 300   9  810  60  11   0   0   0   0   0   0   0   0 100
Keylor_Navas  40 cos   C 71 10 10 10 30 25 921 300 300 300   2  180  12   4   0   0   0   0   0   0   0   0 100
D_Talavera    20 arg   C 59 10 10 10 45 25 100 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Lean_Lozano   28 uru  RL 10 75 69 58 60 25 300 246 582 970  10  770   0   0  11   8   5   0   0   0   0   0  97
Facu_Rguez    27 arg   C 10 74 49 43 60 25 300 683 425 136   9  779   0   0  15   3   6   0   2   1   0   0  93
Jano_Gordon   22 arg  CR 10 73 46 42 50 25 300 650 436 187   9  708   0   0  14   6   3   0   0   1   0   0  93
Elias_Baez    22 arg   L 10 72 61 48 50 25 300 718 707 412   9  735   0   0   8   3   1   0   0   2   0   0  93
Cristian_Lema 37 arg   C 10 71 56 55 35 25 300 320 464 294   5  419   0   0   7   1   5   0   0   0   0   0 100
Teo_R_Pagano  21 arg   L 10 68 58 40 45 25 300 326 322 290   7  249   0   0   3   4   2   0   0   0   0   0 100
Eze_Herrera   24 arg   R 10 68 57 36 55 25 300 269 871 734   4  213   0   0   7   0   3   0   0   0   0   0 100
R_Pedroza     20 arg  CL 10 65 37 36 45 25 300 557 411 397   3  211   0   0   2   1   1   0   0   1   0   0 100
J_Crisafulli  18 arg   C 10 59 44 39 40 25 300 312 300 300   1   25   0   0   1   0   0   0   0   0   0   0 100
Nico_Blanco   19 arg   R 10 59 48 33 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Alex_Luna     23 arg  CR 10 48 74 71 50 25 300  15 338 229   7  392   0   0   1  11   7   1   2   0   0   0 100
Gonza_Abrego  27 arg   C 10 67 73 61 60 25 300 672 851 885  10  714   0   0   9  14   5   0   0   0   0   0  95
N_Tripichio   31 arg  CR 10 71 73 52 55 25 300 502 712 773   8  661   0   0   6  14   7   1   0   0   0   0  93
Bebelo_R      31 arg  RC 10 34 73 68 55 25 300 511 139 630  11  838   0   0   1  15  14   0   0   0   0   0  90
Santi_Gzalez  22 arg  CR 10 65 72 54 50 25 300  98 313 982   8  339   0   0   2   3   5   1   0   1   0   0 100
Alan_Forneris 22 arg   C 10 64 71 39 50 25 300 156 882 910   7  231   0   0   3   2   1   0   0   1   0   0 100
Ever_Banega   38 arg   C 10 65 71 68 30 25 300 950 956 863  10  444   0   0   1  10  11   0   1   1   0   0 100
Facundo_Gulli 21 arg   C 10 40 67 57 45 25 300 290 306 296   7  211   0   0   0   2   3   0   0   0   0   0 100
C_Gallardo    19 arg   C 10 56 64 49 45 25 300  19 644  31   1   71   0   0   0   2   0   0   0   0   0   0 100
Uriel_Ojeda   18 arg   C 10 33 61 57 40 25 300 300 300 300   1   19   0   0   0   0   0   0   0   0   0   0 100
Toro_Morales  24 arg   C 10 27 56 73 55 25 300  59 352 113  11  676   0   0   0   6  23   1   0   3   0   0 100
Jero_Domina   21 arg   C 10 29 57 72 45 25 300 658 899 934  10  627   0   0   1   9  12   0   0   1   0   0  97
Alexis_Cuello 27 arg  CL 10 32 63 71 60 25 300 142 343 772   9  500   0   0   1  10   8   1   0   1   0   0 100
B_Salinardi   20 arg   C 10 29 50 63 45 25 300 873 937 261   3   68   0   0   0   1   0   0   0   0   0   0 100
Enzo_Salas    20 arg   C 10 24 50 61 45 25 300 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100

