Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam  Min Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
--------------------------------------------------------------------------------------------------------------
Thiag_Cardozo 30 uru   C 76 10 10 10 55 25 900 300 300 300  19 1625 162  33   0   0   0   0   0   0   0   0 100
M_Tagliamonte 29 arg   C 67 10 10 10 60 25 105 300 300 300   3  265  15   4   0   0   0   0   0   0   0   0 100
Lucas_Meuli   25 arg   C 62 10 10 10 55 25 250 300 300 300   0    0   0   0   0   0   0   0   0   0   0   0 100
Lau_Vargas    22 arg   R 10 74 58 48 50 25 300 141 313 850  20 1357   0   0  15  12   9   1   1   3   0   0 100
Kevin_Balanta 30 col   C 10 74 62 55 55 25 300  24  45 607  20 1515   0   0  31  19  18   2   1   0   0   0  93
F_Calderon    28 arg   C 10 73 48 41 60 25 300 551 379 316  16 1154   0   0  23  13   9   1   0   1   0   0 100
Bruno_Pitton  34 arg   L 10 71 67 62 35 25 300 815 364 418  13 1020   0   0   7  15  10   0   2   0   0   0 100
E_Elizalde    27 uru  CL 10 69 55 36 60 25 300 909 593 231  13  952   0   0  13  11  10   0   0   1   0   0  91
F_Gerometta   27 arg   R 10 68 58 40 60 25 300 102 718 592   9  300   0   0   8   3   0   0   0   0   0   0 100
G_Arturia     27 arg  CR 10 66 46 35 60 25 300 245 299 205   3  123   0   0   2   0   0   0   0   0   0   0 100
M_Aimar       21 arg  CL 10 65 47 35 45 25 300 596 509 420   2  180   0   0   3   3   2   0   0   1   0   0  89
Lucas_Ayala   20 arg   L 10 64 50 36 45 25 300 687 696 536   3  198   0   0   0   0   1   0   0   0   0   0 100
J_P_Luduena   24 arg   C 10 62 42 32 55 25 300 200 350 350   0    0   0   0   0   0   0   0   0   0   0   0 100
S_Zenclussen  20 arg   L 10 59 35 28 45 25 300 700 100 100   0    0   0   0   0   0   0   0   0   0   0   0 100
Aaron_Molinas 26 arg   C 10 44 76 68 60 25 300 382  67 279  18 1432   0   0   6  31  18   0   4   1   0   0 100
Santi_Andino  21 arg  LR 10 38 76 66 45 25 300 631  74 508  19 1401   0   0   7  44  16   1   0   0   0   0 100
Fran_Ibarra   26 arg   C 10 68 73 50 60 25 300 999 265 739  17 1293   0   0  10  26  20   1   1   2   0   0 100
M_Benitez     33 arg  CR 10 45 73 70 45 25 300 777   5 784  19 1286   0   0   6  42  11   2   3   0   0   0  85
M_Abaldo      23 uru RCL 10 45 71 64 50 25 300 921 866 735  18 1116   0   0   5  34  14   0   2   1   0   0  89
R_Profini     23 arg   C 10 66 70 33 50 25 300 477 465 435  12  867   0   0   5  20   5   0   1   0   0   0 100
Eze_Canete    27 arg   C 10 51 69 63 60 25 300 538 174 936  11  617   0   0   1  16  15   0   1   0   0   0 100
N_B_Schelotto 20 arg   C 10 53 68 60 45 25 300 357 497 279  10  792   0   0   6  14  11   0   0   1   0   0  87
Enzo_Roldan   26 arg   C 10 64 66 60 60 25 300 106 815  73  10  540   0   0   6  16  14   2   2   0   0   0 100
Fede_Girotti  27 arg   C 10 30 59 74 60 25 300 915 376 905  21 1312   0   0   1   8  54   8   1   0   0   0 100
M_Estigaribia 32 arg   C 10 25 58 70 45 25 300 687 324 479  20 1008   0   0   1   9  48   4   0   2   0   0 100
R_Solbes      21 arg  CR 10 34 49 65 45 25 300 912  41 399   8  397   0   0   0   6  19   1   0   0   0   0 100
V_Cerrudo     21 arg   C 10 33 41 63 45 25 300 982  38 594   2   24   0   0   0   0   1   0   0   0   0   0 100
Jose_Angulo   32 ecu   C 10 27 50 61 45 25 300 125 149 744   0    0   0   0   0   0   0   0   0   0   0   0 100
Diego_Diaz    25 arg   C 10 23 47 60 55 25 300 250 250 982   0    0   0   0   0   0   0   0   0   0   0   0 100

